TV,Radio,Social Media,Influencer,Sales,OE,TE,SE
43.0,16.34871104,2.814013458,Mega,150.6264947,0.26874116,0.38061607,0.7060688740756532
47.0,17.37652562,1.905040273,Mega,161.7851523,0.36312844,0.44725999,0.8118956493291519
43.0,18.23019243,4.079293023,Nano,155.5991953,0.20996323,0.35993759,0.5833323215838613
75.0,23.62623841,6.199769157,Mega,263.0206872,0.22636262,0.47020188,0.48141581228896824
79.0,23.51057067,2.188926056,Macro,281.5789422,0.46598458,0.62004075,0.7515386367750828
65.0,24.56354623,3.41966808,Macro,231.6700477,0.31813786,0.46319495,0.6868336107723109
43.0,12.84212842,2.593697318,Macro,148.7069665,0.28108614,0.42430067,0.6624692343757081
82.0,27.64758545,5.611221835,Macro,294.9524151,0.26721483,0.51322469,0.5206585637959078
68.0,21.63920124,3.223647705,Micro,242.8248811,0.34137607,0.52294078,0.6528006287824789
98.0,37.57095206,8.529604366,Mega,351.7730679,0.2227198,0.6767521,0.329101010547289
26.0,10.59953251,0.679275349,Macro,91.92229739,0.4762761,0.48192811,0.9882720889636423
10.0,6.145248262,1.591116473,Macro,32.56682505,0.12334158,0.21170635,0.5826068986593931
0.0,34.85963715,7.781416681,Mega,318.9697838,0.28720076,0.80555344,0.3565260176903968
32.0,0.627618771,2.676075167,Micro,115.2625668,0.73408541,0.79538218,0.9229341924658157
29.0,8.852094414,0.041494349,Macro,101.8731014,0.9010807,0.90535359,0.9952804185600014
32.0,11.52414895,2.566791358,Mega,111.8997121,0.23092732,0.33272461,0.6940494122151049
29.0,14.4341063,0.463277331,Macro,104.3526653,0.60230235,0.61041275,0.9867132526311091
91.0,40.10852728,7.236170474,Mega,326.3817124,0.23841325,0.48337434,0.4932269470489476
83.0,34.28141179,8.697487404,Nano,300.7305325,0.1942717,0.43434736,0.4472726621384322
72.0,23.92269582,3.373809656,Mega,255.1551652,0.34133501,0.52124727,0.6548427774019804
47.0,24.16913194,2.087910259,Micro,161.7170871,0.34288834,0.41807174,0.820166270984975
10.0,3.455868379,2.400118071,Micro,39.62567824,0.20478034,0.28032954,0.7304986124544706
49.0,10.06762616,1.729667405,Macro,169.0081129,0.39498059,0.54452635,0.7253654299741418
14.0,5.197856187,0.413965989,Mega,50.98848158,0.46016832,0.47118074,0.9766280344990332
20.0,10.75005058,2.442173814,Macro,70.47172273,0.16681706,0.17750834,0.9397702665688835
17.0,10.44745162,3.356106421,Nano,58.59009126,0.11286454,0.11305631,0.9983037656190973
68.0,29.8927411,6.096743741,Mega,237.7721637,0.2120354,0.38576342,0.5496513899633096
91.0,25.04555745,6.109369688,Macro,322.1004964,0.26660635,0.59315346,0.44947280590759764
52.0,17.11323977,2.638642418,Mega,181.0796122,0.31840551,0.44274851,0.7191565929832265
41.0,3.921540021,2.527850591,Nano,145.9192,0.44353024,0.6283512,0.70586359984671
65.0,11.65648785,0.358471532,Micro,228.5646491,0.78465843,0.83476081,0.939979956653691
82.0,31.60769079,3.952448108,Mega,288.9822393,0.33329315,0.50518063,0.6597504540108752
14.0,18.64944183,4.529927084,Mega,49.81567405,0.07134242,0.078800475,0.905355202490848
84.0,31.26640836,8.080731556,Nano,299.099052,0.20435062,0.45332808,0.4507786501996523
99.0,30.14056912,6.546158024,Mega,351.3598902,0.27026732,0.74642586,0.36208193537131733
15.0,2.234293408,1.07771826,Mega,55.00971238,0.35482208,0.35582152,0.9971911760705198
64.0,24.69852188,6.741382758,Micro,223.0991462,0.18613162,0.39650924,0.4694256809753034
70.0,15.2477262,4.587703384,Macro,247.1394014,0.27603068,0.56291844,0.49035643600518747
77.0,26.82235002,5.514187222,Nano,274.7071,0.25638058,0.48379286,0.5299387427916982
81.0,20.39194685,3.212250256,Macro,289.1757587,0.38164391,0.63860114,0.5976248492133915
46.0,17.79013454,4.117631989,Micro,168.0365387,0.22179142,0.39383699,0.5631553806055647
0.0,6.48229344,0.866844994,Macro,91.17721555,0.73695265,0.93649119,0.7869296132940663
56.0,25.27608704,3.239265214,Mega,198.3215216,0.29635188,0.39992201,0.7410241811897275
98.0,33.05515873,6.063457718,Mega,349.7452965,0.28493481,0.68950073,0.41324801788099624
47.0,18.2339617,0.827545346,Mega,166.1372196,0.56946201,0.63213884,0.9008495823480803
18.0,8.808702773,2.414186295,Nano,59.28931563,0.14423308,0.14446425,0.9983998117181242
77.0,22.9553127,2.642504816,Mega,272.6321364,0.41207011,0.59075047,0.6975366604448067
22.0,6.041725794,2.136632357,Mega,77.41731834,0.22442172,0.27439598,0.8178753930724495
99.0,37.7178052,3.590086383,Nano,349.4239745,0.39791585,0.70471494,0.5646479553846269
36.0,9.096779889,3.81883449,Mega,127.0926738,0.23686616,0.40778076,0.5808664440176138
12.0,1.648197979,1.30572513,Mega,43.06509252,0.35798056,0.42750323,0.8373751000664954
94.0,47.11629339,9.322957802,Micro,336.5934202,0.20060423,0.44421841,0.451589185599039
97.0,39.23230636,3.698661076,Nano,345.3131637,0.38963698,0.65138417,0.5981677141463232
44.0,16.91203429,4.034660177,Macro,154.2065565,0.20883813,0.36696997,0.5690877921155238
86.0,31.52189727,6.398283645,Mega,304.7437748,0.2475751,0.49372552,0.5014427854569884
93.0,33.05945096,5.78929841,Micro,335.2090696,0.28653875,0.57742786,0.49623298397829296
30.0,10.64510759,1.915517115,Macro,104.1809671,0.27114644,0.32887937,0.8244556051053005
32.0,0.758066665,2.359200238,Mega,112.269694,0.69736065,0.7460154,0.93478050185023
29.0,2.172596338,4.208324504,Mega,103.6348659,0.47911291,0.53898658,0.8889143584984992
72.0,25.40659637,3.215455403,Micro,262.4011715,0.36197267,0.53188233,0.6805502826160816
14.0,8.001265854,4.18783431,Micro,51.44298395,0.12551077,0.13419758,0.9352685048418905
95.0,38.41522497,7.673636553,Micro,336.7606331,0.23286058,0.50951912,0.4570202978840127
20.0,3.934783488,0.328469804,Nano,72.62590273,0.60137163,0.60194981,0.9990394880264187
49.0,24.35904434,3.797367287,Nano,174.1981389,0.24093606,0.34448964,0.699400016790055
29.0,11.21368878,0.55883658,Macro,98.99963768,0.52970686,0.53646149,0.9874089191378863
0.0,7.635819371,1.554145839,Macro,56.18672988,0.25330088,0.25491735,0.9936588466810911
39.0,13.18725635,2.766352269,Macro,140.4152859,0.2605545,0.40008898,0.6512413813547178
87.0,33.70789822,3.327272719,Nano,309.3616681,0.38850211,0.55193489,0.7038911962967227
38.0,9.437711713,4.377587812,Mega,133.5654887,0.23804453,0.41904824,0.5680599684656831
43.0,9.726736048,0.337998227,Macro,152.2546677,0.73519034,0.75193563,0.9777304208872242
30.0,8.421994731,3.279480595,Macro,112.3081088,0.23237729,0.38389307,0.6053177516332868
93.0,19.95638677,2.261406312,Mega,333.5791129,0.50062036,0.83460286,0.5998306308224249
86.0,25.26070742,6.765663894,Nano,307.6190894,0.23970018,0.53992103,0.4439541464054475
63.0,26.03598627,3.290816886,Nano,225.4862319,0.32101003,0.44028717,0.7290924012162335
93.0,28.03820883,2.924281836,Nano,333.9664321,0.43888579,0.70472818,0.6227731520541722
94.0,32.14620508,4.61092529,Macro,334.6459156,0.33286015,0.61029913,0.5454049229924349
63.0,21.84654391,2.64241023,Macro,222.4683071,0.36477245,0.48740527,0.7483966063805589
30.0,17.46901907,4.337634178,Nano,105.1853123,0.14410431,0.22903635,0.6291765914013213
18.0,7.291955516,2.317959067,Micro,62.31766345,0.16285005,0.16286857,0.9998862886804987
24.0,3.426021221,0.00317676,Micro,86.11553566,0.96632845,0.96884263,0.9974049655515261
56.0,14.88018119,2.367556821,Macro,197.225133,0.36201814,0.51462825,0.7034556303506463
40.0,17.42884965,3.306706147,Macro,143.8359148,0.23209573,0.34830281,0.6663619222595419
74.0,29.56295098,2.060719698,Micro,263.105633,0.46362491,0.57298622,0.8091379754298454
52.0,14.56589504,1.9982184,Mega,182.9860143,0.38337582,0.50357563,0.7613073333195253
74.0,20.22086793,4.540904518,Macro,267.7373384,0.29054973,0.55604049,0.5225334039972521
0.0,30.47048529,6.806918967,Micro,336.8186903,0.3466892,1.0,0.3466892
70.0,15.3541893,1.049369556,Micro,250.7513879,0.61402548,0.72900766,0.8422757588034124
99.0,33.87824351,8.091610987,Mega,356.5821434,0.23449737,0.83417599,0.2811125863260581
42.0,15.21523612,1.501445964,Nano,145.2164746,0.39305445,0.4593666,0.8556443807625543
85.0,31.79693826,2.16250238,Mega,303.397391,0.48725935,0.60690508,0.8028592378893912
38.0,8.872274678,1.605213404,Macro,132.3443679,0.35818155,0.4695418,0.7628320843852454
30.0,15.43267247,3.9865702,Macro,104.5039262,0.15372325,0.24604136,0.6247862148055108
49.0,21.03218038,5.087016957,Micro,174.5641128,0.19244767,0.36108382,0.5329722888164858
27.0,6.447508155,1.415638249,Mega,96.43343282,0.31953283,0.39020617,0.8188820540690066
30.0,4.561312156,1.652759623,Mega,104.1503565,0.33978408,0.46708033,0.7274639032647767
100.0,36.57380821,5.273156173,Mega,354.7973747,0.31620498,0.78558593,0.4025084563314417
21.0,1.380311071,5.286680958,Mega,80.94072509,0.54631263,0.58311537,0.9368860059373841
38.0,18.90360911,4.889993447,Macro,131.1015188,0.15638684,0.28163428,0.5552833980295296
39.0,9.722746017,0.903060425,Micro,135.5443199,0.49655769,0.55400822,0.8963002209606203
14.0,4.828279786,0.28603859,Micro,49.18778559,0.53149943,0.54845947,0.9690769492958159
40.0,18.378401,1.320080106,Mega,141.3801238,0.42054631,0.48440963,0.8681625714170876
33.0,17.44947546,0.887761603,Macro,119.3308074,0.47997525,0.52064477,0.9218862411697711
88.0,26.00963987,1.495600762,Nano,321.0466894,0.59612149,0.74094816,0.804538727783601
67.0,28.48182095,1.520803886,Mega,240.4027581,0.51746662,0.61969396,0.8350357650734566
65.0,20.06155575,3.529274197,Nano,226.9989318,0.30516754,0.48873332,0.6244050231729648
95.0,30.73728576,8.980234377,Micro,341.4281402,0.20914816,0.54902972,0.38094141788899877
95.0,36.42230623,9.997472195,Nano,335.3014311,0.18859797,0.48121191,0.3919229056487816
0.0,9.164463979,1.096681429,Macro,65.25918923,0.41692303,0.45660777,0.9130879003657777
77.0,31.6532001,7.776978403,Nano,273.9603772,0.19646588,0.41093148,0.47809887916107086
70.0,21.43851856,5.708104984,Mega,249.3019048,0.23227629,0.47966663,0.48424525591867834
34.0,16.19365273,0.792203039,Mega,117.0546557,0.49043701,0.52139006,0.9406336016455703
59.0,13.45217597,1.50308216,Macro,208.7495053,0.48266593,0.61324995,0.7870623226304381
30.0,12.1555835,0.932529328,Macro,106.0995933,0.43496745,0.46473232,0.9359526576503222
68.0,22.38968684,1.506105779,Micro,243.0816632,0.52144108,0.62395725,0.8357000098965113
43.0,8.573864534,3.298362157,Micro,156.9537519,0.29378286,0.52118688,0.5636804594927638
18.0,8.477135293,0.608817354,Mega,61.70848657,0.40229375,0.40435028,0.9949139889305876
84.0,33.9556193,4.479871088,Nano,299.3466037,0.31519553,0.49963056,0.6308571877588913
61.0,28.38518716,6.157704568,Micro,222.4507601,0.20145505,0.37881567,0.5318023143023625
24.0,11.88643795,1.558209074,Micro,82.54907175,0.26537915,0.2813238,0.9433227832127961
41.0,8.715248318,0.181466489,Nano,144.5920869,0.8152199,0.83005803,0.9821239847532106
67.0,18.30464111,4.895171905,Micro,234.021177,0.2473303,0.49556389,0.49908862407226645
51.0,24.00692574,4.152022007,Nano,183.3277351,0.23473072,0.36275966,0.6470695225593717
100.0,36.73413489,7.359714283,Micro,354.1039697,0.24939424,0.74467072,0.3349053928157669
44.0,18.94795499,2.229813818,Micro,160.5796388,0.33398254,0.42124996,0.7928369654919374
10.0,0.758569411,0.527880863,Nano,35.54799802,0.49778954,0.67956702,0.7325098560551099
21.0,1.397371107,1.444591132,Nano,77.54794767,0.54109484,0.55910119,0.9677941125469612
32.0,5.471955572,0.672964457,Micro,110.3748636,0.51512747,0.5586162,0.922149178631053
98.0,31.36391464,5.657550436,Nano,351.4266721,0.30048707,0.75251247,0.39931174828239063
39.0,4.856123013,0.874163256,Macro,131.0772545,0.48755966,0.58879964,0.8280569940565861
0.0,38.1184237,6.676611421,Micro,328.5551842,0.34478386,0.79821203,0.4319452063382207
40.0,19.63906306,0.795725948,Micro,146.1456862,0.55921089,0.61408337,0.9106432730787026
44.0,19.01537456,6.543306951,Mega,153.5822256,0.15405526,0.33049081,0.46614082854527783
49.0,24.87104934,5.036281432,Nano,174.9861639,0.1944654,0.33142722,0.5867514442537339
78.0,30.11726533,3.357794085,Macro,278.955153,0.36350634,0.51511814,0.705675672768969
49.0,20.42365468,4.346777364,Mega,178.3746767,0.22257295,0.38518118,0.5778396286132151
55.0,22.37478299,5.066577857,Mega,197.0111372,0.21268113,0.39257858,0.5417542903130375
73.0,22.86737608,0.968984226,Nano,261.0908818,0.63995584,0.73351682,0.8724487599343668
58.0,17.39877506,4.007447145,Nano,204.099035,0.2595893,0.46761957,0.5551292474778162
82.0,23.43478708,5.914866129,Micro,288.0207452,0.25107708,0.52340729,0.4796973309255972
27.0,10.33353047,1.130122514,Macro,97.61236339,0.3739302,0.40244849,0.9291380370193463
94.0,29.34460985,3.436481014,Mega,336.3726161,0.40152372,0.68784073,0.583745193454886
69.0,23.29045109,5.671686076,Mega,245.979961,0.23109583,0.45738219,0.5052576052425652
94.0,37.09705521,7.596290451,Nano,334.643793,0.23377856,0.51372513,0.45506545494474837
70.0,23.80856837,3.766603039,Micro,246.4947988,0.30959108,0.49197189,0.6292861163266869
88.0,27.46149343,1.524062069,Macro,312.1429635,0.57525006,0.69899261,0.8229701598705028
64.0,23.08148805,3.056298128,Macro,219.5681841,0.32642284,0.45156391,0.7228718521814553
39.0,11.78254265,2.956726836,Micro,138.3753078,0.24444436,0.40966362,0.5966953082140903
99.0,37.73241144,7.72405273,Macro,349.0483366,0.23774498,0.61190801,0.3885305897531886
81.0,26.42542193,0.0,Macro,288.649441,0.96461822,0.9891607,0.975188581592455
0.0,1.287060452,0.396178735,Macro,56.54529263,1.0,1.0,1.0
25.0,0.413849392,0.0,Macro,92.35709194,1.0,1.0,1.0
94.0,30.49815694,8.823311925,Macro,331.4840935,0.20632838,0.5233498,0.39424564602871737
73.0,25.34020889,0.0,Mega,258.3589687,0.95801088,0.98104069,0.976525122520657
36.0,8.840112507,0.962941668,Nano,125.3870645,0.46365517,0.52236783,0.8876028410861366
78.0,26.40676494,2.475101624,Macro,271.0264376,0.42254309,0.55145707,0.7662302525199287
89.0,29.68238385,0.0,Macro,320.2643973,0.97406607,1.0,0.97406607
44.0,6.313173395,1.310027864,Macro,152.8312537,0.43725481,0.60880128,0.718222553671372
79.0,27.88320654,7.467941688,Nano,282.7480985,0.20825164,0.45235459,0.46037255861601845
41.0,13.14265735,0.0,Nano,142.6268646,0.94164507,0.95406226,0.9869849269585403
26.0,15.26673306,2.205879856,Macro,88.96782897,0.21652501,0.24201943,0.8946596147259747
17.0,8.197932469,2.119872253,Mega,63.25378214,0.17312479,0.17405886,0.9946335969338188
34.0,12.66039824,0.0,Mega,117.1141409,0.93239552,0.93976981,0.992153089063374
13.0,8.077501591,0.013230147,Nano,48.30375112,0.96773986,1.0,0.96773986
98.0,0.0,6.399729574,Nano,345.9528384,0.94689562,1.0,0.94689562
12.0,3.556576557,0.360014914,Micro,37.24327179,0.38910528,0.52189496,0.7455624403807233
11.0,3.785254654,1.569644569,Micro,45.55251127,0.21838316,0.25566516,0.8541764548599425
89.0,0.0,4.535458014,Micro,316.7256236,1.0,1.0,1.0
39.0,13.22123736,3.660566126,Micro,135.7731514,0.20369914,0.36720704,0.5547255847818169
86.0,27.14817277,4.409399375,Nano,308.3930492,0.3256363,0.58054966,0.5609103276367434
22.0,0.0,4.132525561,Macro,78.03149813,0.85109593,0.91317848,0.9320148784058073
76.0,26.19267329,4.127600897,Macro,269.6030059,0.30992965,0.51029339,0.6073557997684431
33.0,13.36586735,0.012138363,Macro,116.2374967,0.94009945,0.9476401,0.9920427069306164
12.0,0.0,1.230026167,Micro,50.00921016,1.0,1.0,1.0
83.0,28.40915338,4.085216067,Micro,292.857168,0.32916578,0.53524131,0.6149857528747175
77.0,25.59837924,5.514786646,Nano,0.0,0.0,0.051577553,0.0
37.0,10.25291621,0.86532872,Nano,135.5300789,0.52088082,0.57359924,0.9080918935666652
0.0,17.00707465,5.199634828,Macro,208.8163817,0.2813756,0.93443276,0.30111915168727604
92.0,16.70376892,1.888403291,Macro,325.5137107,0.53415468,0.84084165,0.6352619188166999
100.0,32.920194,9.904286084,Nano,357.1245732,0.20258339,0.85355202,0.23734158581219222
94.0,30.37270595,5.94611293,Mega,334.0892379,0.27935474,0.58832554,0.47483021049876567
100.0,36.46675337,5.635992458,Mega,0.0,0.0,0.044653896,0.0
27.0,3.438824491,0.749518789,Mega,97.50795879,0.47168637,0.5296033,0.8906409193447247
53.0,19.04450325,2.715095722,Macro,191.6180402,0.3284991,0.44651456,0.7356962783027724
73.0,28.4645976,5.545684409,Mega,256.4252258,0.24163702,0.43510164,0.5553576401136985
78.0,26.39407008,3.83736988,Mega,279.5906387,0.33449884,0.53743382,0.6224000566246465
59.0,25.68728652,6.903109247,Macro,209.8956538,0.17444482,0.37108136,0.4700985789208059
44.0,15.72633981,5.470316628,Mega,159.6309441,0.18750599,0.3884443,0.4827101079871683
74.0,24.22063365,0.285897607,Micro,0.0,0.0,0.13469802,0.0
82.0,33.67469531,8.243045066,Nano,290.0198478,0.19603432,0.41631539,0.47087934942784604
47.0,14.16232438,4.388114516,Nano,170.1261872,0.217934,0.43773644,0.49786579339842024
22.0,3.598474281,4.325620528,Micro,78.81257166,0.3155308,0.33826031,0.9328046793311341
78.0,24.89028294,3.531093274,Macro,277.0940713,0.34980641,0.55324967,0.6322758583841541
19.0,8.726782674,0.49783849,Mega,0.0,0.0,0.33271303,0.0
15.0,9.809647258,2.175099221,Macro,51.15173712,0.13981269,0.1488522,0.9392719086449511
78.0,36.13477932,6.812528936,Micro,275.8154126,0.21881706,0.40241101,0.5437650923119624
63.0,19.10204333,4.773049696,Micro,225.791715,0.24704186,0.47973852,0.5149510612572866
45.0,12.22739961,1.306053839,Nano,162.3039063,0.46023874,0.55586468,0.827969030160362
22.0,6.809751696,0.011450525,Macro,0.0,0.0,0.63438387,0.0
31.0,8.843924649,0.104810858,Micro,111.1277488,0.85824794,0.86604253,0.9909997607161395
23.0,2.201752448,0.376547887,Nano,80.45443519,0.58001076,0.58431128,0.9926400188611796
19.0,4.894410734,0.147196027,Macro,69.99070666,0.76744031,0.7724206,0.9935523599448279
40.0,11.90789251,1.958036191,Nano,138.6769979,0.32459152,0.42291497,0.7675101214790293
27.0,1.384415461,2.39812919,Nano,0.0,0.0,0.28923219,0.0
35.0,5.392624287,0.020639976,Macro,118.5011567,0.89606742,0.90394096,0.9912897629951407
63.0,20.77468172,6.259153285,Micro,229.0903237,0.20587802,0.45315684,0.45431956847434984
78.0,23.80959139,1.915047092,Nano,276.9190626,0.49319267,0.6153649,0.8014637656453919
91.0,22.27671374,3.290079821,Mega,322.6677652,0.4004504,0.70009642,0.5719932120207099
44.0,16.60931402,5.15906663,Mega,157.490072,0.17908633,0.37037174,0.48353130290124186
16.0,12.25135762,1.463118167,Mega,56.81533661,0.21204927,0.21308142,0.9951560769587513
40.0,12.7084063,5.838251913,Nano,139.792394,0.19569291,0.37745308,0.5184562542184051
60.0,21.43888957,3.147751404,Nano,212.1691189,0.31623361,0.45111381,0.701006271565927
49.0,16.31903668,0.463311511,Micro,177.5025509,0.71820686,0.76260151,0.9417852582012328
71.0,26.02394936,3.116428483,Mega,253.9861099,0.35919823,0.50739097,0.7079318538128497
59.0,21.27291211,3.385121455,Nano,215.9054823,0.30794807,0.46110548,0.6678473437357544
92.0,33.29585958,1.229454172,Macro,327.6536439,0.6357885,0.78383662,0.8111237517838857
60.0,19.01558716,5.895165277,Mega,214.4576138,0.20659829,0.44756716,0.461602879889579
28.0,10.93200857,1.867646115,Nano,97.20055286,0.2627021,0.30766977,0.8538443669652692
29.0,9.197032332,3.246667727,Micro,99.10933661,0.19440594,0.30390797,0.6396868762605995
97.0,31.70701011,4.365166691,Nano,347.1547599,0.35374451,0.7086303,0.49919472819607064
11.0,9.398839224,3.206508472,Mega,41.35123045,0.09092824,0.1208763,0.7522420855039407
49.0,13.76198317,2.502653025,Nano,173.1550912,0.32172082,0.47749149,0.6737728875544986
38.0,4.338843042,0.028073247,Mega,139.8343646,0.9684519,0.98295389,0.9852465205666973
18.0,12.38447814,1.637157501,Nano,65.125304,0.21696629,0.21758555,0.9971539470337071
42.0,10.01903472,0.191093711,Nano,152.9496029,0.83838278,0.85472046,0.9808853528555991
76.0,32.31926372,6.494517858,Mega,270.6378511,0.22409234,0.42088379,0.5324328123922283
86.0,29.91962703,6.312902998,Mega,303.6096465,0.24912003,0.50222354,0.49603415642365145
70.0,30.47388738,5.704360367,Nano,248.0514829,0.2312264,0.40466295,0.5714049185871847
69.0,24.36246064,5.463176008,Macro,239.7328932,0.23170506,0.43609761,0.5313146751710013
47.0,14.59516994,0.573235814,Nano,162.1479537,0.63476063,0.67835391,0.9357366717323116
46.0,17.87483166,3.918941935,Micro,167.5332259,0.22972579,0.39387755,0.5832416445161701
98.0,33.5556744,5.401715328,Micro,343.7047069,0.30335569,0.62945572,0.48193332805046235
63.0,18.31721305,5.106410106,Mega,222.4538087,0.23134653,0.47559725,0.48643369994254587
66.0,15.81007671,0.495169721,Mega,229.5582512,0.72992267,0.78933886,0.9247266376825791
76.0,21.43025018,3.608351353,Nano,269.0373261,0.3380827,0.56929586,0.593861160346397
12.0,12.84827976,2.810375342,Nano,42.65152205,0.095749922,0.12226264,0.7831494723163184
75.0,38.27143199,8.586450249,Micro,263.5238127,0.17538005,0.35296353,0.49687867185598467
85.0,25.24181707,5.969538042,Nano,296.2485996,0.25406673,0.52068077,0.4879510530031674
12.0,3.188668313,0.276135877,Nano,46.84859882,0.55943052,0.59903739,0.9338824743477199
90.0,33.5117751,4.663526779,Macro,322.4697556,0.32308509,0.56152769,0.5753680464092519
88.0,35.4551909,4.091396616,Macro,312.3107698,0.34355784,0.5305422,0.6475598736537829
35.0,18.81472652,3.041468747,Mega,123.9521411,0.22000782,0.28453991,0.773205488115885
89.0,26.11806108,4.020019107,Nano,320.5882954,0.35520068,0.6362053,0.5583114129982885
54.0,22.45001505,3.389499568,Nano,188.8286445,0.27636285,0.3911501,0.7065391265399139
16.0,1.095054697,1.784711655,Mega,55.33417257,0.4860546,0.48837074,0.9952574144798273
98.0,32.07909439,4.158338824,Mega,342.6522282,0.35859317,0.67334363,0.5325559699733107
23.0,7.989787362,0.508955059,Mega,84.70733843,0.53744897,0.54154728,0.9924322212457609
93.0,33.74742661,2.79805324,Mega,333.0773697,0.44833222,0.64680705,0.6931467738330929
52.0,17.45288044,3.909853584,Nano,188.1163762,0.25077391,0.44204539,0.5673035296216979
27.0,8.301393097,0.297735659,Mega,98.16192205,0.69011235,0.69657024,0.9907290182250681
13.0,5.358821718,3.103557138,Nano,47.50814092,0.16404214,0.18830973,0.871129388800037
83.0,21.93601248,4.436259637,Micro,294.4933353,0.31335801,0.59073358,0.5304557259128557
66.0,21.57823348,8.87423765,Macro,231.9942926,0.19320099,0.44033419,0.4387599109667137
19.0,7.789507227,4.06782199,Macro,62.0795245,0.14779437,0.15026916,0.9835309520596242
85.0,23.77346122,4.542661031,Mega,304.9042152,0.31682533,0.59767886,0.5300929164534948
63.0,19.71906624,5.481915242,Nano,220.7061299,0.21741112,0.4512921,0.4817525500667971
62.0,25.07908112,5.066101233,Nano,225.469526,0.23680948,0.41918085,0.564933918140583
45.0,15.53732896,0.125813206,Mega,157.6872981,0.8560672,0.87134951,0.9824613317335772
23.0,6.621635323,0.113631173,Mega,79.93998662,0.79002441,0.79161587,0.9979896057414817
50.0,11.36398701,2.32129586,Mega,185.3102927,0.35911098,0.5643975,0.6362731585451743
60.0,19.49995648,4.912336165,Macro,216.2681567,0.23436623,0.45816523,0.5115321169177329
25.0,13.00455149,5.277124394,Micro,91.95954527,0.13741839,0.22943888,0.5989324477176666
31.0,12.22596591,0.397207276,Macro,111.1431062,0.64914394,0.65841487,0.9859193186204923
77.0,21.03196536,1.86728813,Micro,275.3886734,0.49982357,0.65133595,0.7673821320625708
27.0,9.235845656,2.963209488,Nano,93.35175941,0.18692466,0.28547954,0.6547742790954476
77.0,25.58343965,3.870991902,Macro,276.0838978,0.32986754,0.53719362,0.61405706940451
95.0,25.54636769,1.963490079,Micro,333.3682547,0.52815042,0.76420714,0.6911089838809933
