text,aspect,sentiment,neu_score,neg_score,pos_score,reviewId
"Enthusiastic reception, rent a scooter 120k, calculated according to the rental hour, if I rent a car from 12 o'clock, it will be charged for half a day. Lock the room with a magnetic card. The plus point is early check-in at no extra charge. The minus point is that the soundproofing is not good, hearing echoes from other rooms. The room has 2 standard free bottles of water per day with tea and",scooter,negative,0.24148938,0.64067596,0.11783468,126150640
"Enthusiastic reception, rent a scooter 120k, calculated according to the rental hour, if I rent a car from 12 o'clock, it will be charged for half a day. Lock the room with a magnetic card. The plus point is early check-in at no extra charge. The minus point is that the soundproofing is not good, hearing echoes from other rooms. The room has 2 standard free bottles of water per day with tea and",120k,neutral,0.52538824,0.27663958,0.1979722,126150640
"Enthusiastic reception, rent a scooter 120k, calculated according to the rental hour, if I rent a car from 12 o'clock, it will be charged for half a day. Lock the room with a magnetic card. The plus point is early check-in at no extra charge. The minus point is that the soundproofing is not good, hearing echoes from other rooms. The room has 2 standard free bottles of water per day with tea and",hour,neutral,0.6051875,0.3762801,0.018532408,126150640
"Enthusiastic reception, rent a scooter 120k, calculated according to the rental hour, if I rent a car from 12 o'clock, it will be charged for half a day. Lock the room with a magnetic card. The plus point is early check-in at no extra charge. The minus point is that the soundproofing is not good, hearing echoes from other rooms. The room has 2 standard free bottles of water per day with tea and",car,negative,0.24596877,0.7033187,0.05071251,126150640
"Enthusiastic reception, rent a scooter 120k, calculated according to the rental hour, if I rent a car from 12 o'clock, it will be charged for half a day. Lock the room with a magnetic card. The plus point is early check-in at no extra charge. The minus point is that the soundproofing is not good, hearing echoes from other rooms. The room has 2 standard free bottles of water per day with tea and",o'clock,neutral,0.6037916,0.030175246,0.36603314,126150640
"Enthusiastic reception, rent a scooter 120k, calculated according to the rental hour, if I rent a car from 12 o'clock, it will be charged for half a day. Lock the room with a magnetic card. The plus point is early check-in at no extra charge. The minus point is that the soundproofing is not good, hearing echoes from other rooms. The room has 2 standard free bottles of water per day with tea and",day,neutral,0.9848851,0.007197009,0.007918016,126150640
"Enthusiastic reception, rent a scooter 120k, calculated according to the rental hour, if I rent a car from 12 o'clock, it will be charged for half a day. Lock the room with a magnetic card. The plus point is early check-in at no extra charge. The minus point is that the soundproofing is not good, hearing echoes from other rooms. The room has 2 standard free bottles of water per day with tea and",room,neutral,0.897438,0.013469981,0.08909196,126150640
"Enthusiastic reception, rent a scooter 120k, calculated according to the rental hour, if I rent a car from 12 o'clock, it will be charged for half a day. Lock the room with a magnetic card. The plus point is early check-in at no extra charge. The minus point is that the soundproofing is not good, hearing echoes from other rooms. The room has 2 standard free bottles of water per day with tea and",card,neutral,0.8129352,0.069465,0.11759987,126150640
"Enthusiastic reception, rent a scooter 120k, calculated according to the rental hour, if I rent a car from 12 o'clock, it will be charged for half a day. Lock the room with a magnetic card. The plus point is early check-in at no extra charge. The minus point is that the soundproofing is not good, hearing echoes from other rooms. The room has 2 standard free bottles of water per day with tea and",point,positive,0.016754936,0.12295804,0.860287,126150640
"Enthusiastic reception, rent a scooter 120k, calculated according to the rental hour, if I rent a car from 12 o'clock, it will be charged for half a day. Lock the room with a magnetic card. The plus point is early check-in at no extra charge. The minus point is that the soundproofing is not good, hearing echoes from other rooms. The room has 2 standard free bottles of water per day with tea and",check,positive,0.09795397,0.0036583776,0.8983877,126150640
"Enthusiastic reception, rent a scooter 120k, calculated according to the rental hour, if I rent a car from 12 o'clock, it will be charged for half a day. Lock the room with a magnetic card. The plus point is early check-in at no extra charge. The minus point is that the soundproofing is not good, hearing echoes from other rooms. The room has 2 standard free bottles of water per day with tea and",in,neutral,0.59977895,0.13374236,0.26647872,126150640
"Enthusiastic reception, rent a scooter 120k, calculated according to the rental hour, if I rent a car from 12 o'clock, it will be charged for half a day. Lock the room with a magnetic card. The plus point is early check-in at no extra charge. The minus point is that the soundproofing is not good, hearing echoes from other rooms. The room has 2 standard free bottles of water per day with tea and",charge,positive,0.2226503,0.20014611,0.5772036,126150640
"Enthusiastic reception, rent a scooter 120k, calculated according to the rental hour, if I rent a car from 12 o'clock, it will be charged for half a day. Lock the room with a magnetic card. The plus point is early check-in at no extra charge. The minus point is that the soundproofing is not good, hearing echoes from other rooms. The room has 2 standard free bottles of water per day with tea and",minus,positive,0.006194154,0.004114078,0.9896918,126150640
"Enthusiastic reception, rent a scooter 120k, calculated according to the rental hour, if I rent a car from 12 o'clock, it will be charged for half a day. Lock the room with a magnetic card. The plus point is early check-in at no extra charge. The minus point is that the soundproofing is not good, hearing echoes from other rooms. The room has 2 standard free bottles of water per day with tea and",soundproofing,negative,0.0018944738,0.97385514,0.024250362,126150640
"Enthusiastic reception, rent a scooter 120k, calculated according to the rental hour, if I rent a car from 12 o'clock, it will be charged for half a day. Lock the room with a magnetic card. The plus point is early check-in at no extra charge. The minus point is that the soundproofing is not good, hearing echoes from other rooms. The room has 2 standard free bottles of water per day with tea and",hearing,negative,0.0016526735,0.99117684,0.007170467,126150640
"Enthusiastic reception, rent a scooter 120k, calculated according to the rental hour, if I rent a car from 12 o'clock, it will be charged for half a day. Lock the room with a magnetic card. The plus point is early check-in at no extra charge. The minus point is that the soundproofing is not good, hearing echoes from other rooms. The room has 2 standard free bottles of water per day with tea and",bottle,positive,0.43901703,0.038291752,0.52269125,126150640
"Enthusiastic reception, rent a scooter 120k, calculated according to the rental hour, if I rent a car from 12 o'clock, it will be charged for half a day. Lock the room with a magnetic card. The plus point is early check-in at no extra charge. The minus point is that the soundproofing is not good, hearing echoes from other rooms. The room has 2 standard free bottles of water per day with tea and",water,neutral,0.83821255,0.021012697,0.14077485,126150640
"Enthusiastic reception, rent a scooter 120k, calculated according to the rental hour, if I rent a car from 12 o'clock, it will be charged for half a day. Lock the room with a magnetic card. The plus point is early check-in at no extra charge. The minus point is that the soundproofing is not good, hearing echoes from other rooms. The room has 2 standard free bottles of water per day with tea and",tea,neutral,0.9858921,0.0019721151,0.012135726,126150640
"Clean hotel, close to the city center. Very convenient",hotel,positive,0.000850736,0.0008780146,0.9982712,126563350
"Clean hotel, close to the city center. Very convenient",city,positive,0.0020658986,0.0009532901,0.99698085,126563350
"Clean hotel, close to the city center. Very convenient",center,positive,0.0025347064,0.001407327,0.996058,126563350
"Perfect vacation, the hotel is located near the city center, very convenient to go out and eat. Room is quite spacious and clean. If I have the opportunity to come back, I will choose this place as a place to stop",vacation,positive,0.00047853525,0.0009124522,0.998609,126436341
"Perfect vacation, the hotel is located near the city center, very convenient to go out and eat. Room is quite spacious and clean. If I have the opportunity to come back, I will choose this place as a place to stop",hotel,positive,0.0020981357,0.0011923767,0.99670947,126436341
"Perfect vacation, the hotel is located near the city center, very convenient to go out and eat. Room is quite spacious and clean. If I have the opportunity to come back, I will choose this place as a place to stop",city,positive,0.0021565629,0.0012611257,0.9965823,126436341
"Perfect vacation, the hotel is located near the city center, very convenient to go out and eat. Room is quite spacious and clean. If I have the opportunity to come back, I will choose this place as a place to stop",center,positive,0.0016537863,0.0015008105,0.9968454,126436341
"Perfect vacation, the hotel is located near the city center, very convenient to go out and eat. Room is quite spacious and clean. If I have the opportunity to come back, I will choose this place as a place to stop",room,positive,0.0098589035,0.0016032116,0.9885379,126436341
"Perfect vacation, the hotel is located near the city center, very convenient to go out and eat. Room is quite spacious and clean. If I have the opportunity to come back, I will choose this place as a place to stop",opportunity,positive,0.0012126969,0.0015585829,0.9972287,126436341
"Perfect vacation, the hotel is located near the city center, very convenient to go out and eat. Room is quite spacious and clean. If I have the opportunity to come back, I will choose this place as a place to stop",place,positive,0.0003096635,0.0010174704,0.99867284,126436341
"The room is like the picture, the staff is also enthusiastic. Overall ok for the price. Hotel is easy to find, walking distance to the market. It's ok in general",room,positive,0.3416602,0.018442782,0.639897,126390720
"The room is like the picture, the staff is also enthusiastic. Overall ok for the price. Hotel is easy to find, walking distance to the market. It's ok in general",picture,neutral,0.8100656,0.021232622,0.16870174,126390720
"The room is like the picture, the staff is also enthusiastic. Overall ok for the price. Hotel is easy to find, walking distance to the market. It's ok in general",staff,positive,0.0024795057,0.0038980118,0.9936225,126390720
"The room is like the picture, the staff is also enthusiastic. Overall ok for the price. Hotel is easy to find, walking distance to the market. It's ok in general",price,neutral,0.6991954,0.082242124,0.21856244,126390720
"The room is like the picture, the staff is also enthusiastic. Overall ok for the price. Hotel is easy to find, walking distance to the market. It's ok in general",hotel,positive,0.04000776,0.004032488,0.95595974,126390720
"The room is like the picture, the staff is also enthusiastic. Overall ok for the price. Hotel is easy to find, walking distance to the market. It's ok in general",distance,positive,0.009039034,0.0027728523,0.9881881,126390720
"The room is like the picture, the staff is also enthusiastic. Overall ok for the price. Hotel is easy to find, walking distance to the market. It's ok in general",market,positive,0.20351502,0.00396688,0.79251814,126390720
"Friendly staff, close to the center, clean room. But the downside, the room is not soundproof, can clearly hear the loud outside. Having a door card (do not disturb + request to clean the room) is better.",staff,positive,0.0011182239,0.009075028,0.9898067,126384376
"Friendly staff, close to the center, clean room. But the downside, the room is not soundproof, can clearly hear the loud outside. Having a door card (do not disturb + request to clean the room) is better.",center,positive,0.00087650324,0.00084849645,0.99827504,126384376
"Friendly staff, close to the center, clean room. But the downside, the room is not soundproof, can clearly hear the loud outside. Having a door card (do not disturb + request to clean the room) is better.",room,negative,0.07277844,0.728857,0.1983646,126384376
"Friendly staff, close to the center, clean room. But the downside, the room is not soundproof, can clearly hear the loud outside. Having a door card (do not disturb + request to clean the room) is better.",downside,positive,0.021024302,0.3589799,0.6199958,126384376
"Friendly staff, close to the center, clean room. But the downside, the room is not soundproof, can clearly hear the loud outside. Having a door card (do not disturb + request to clean the room) is better.",outside,negative,0.0064698495,0.9875509,0.005979269,126384376
"Friendly staff, close to the center, clean room. But the downside, the room is not soundproof, can clearly hear the loud outside. Having a door card (do not disturb + request to clean the room) is better.",door,negative,0.04061999,0.90980303,0.049576975,126384376
"Friendly staff, close to the center, clean room. But the downside, the room is not soundproof, can clearly hear the loud outside. Having a door card (do not disturb + request to clean the room) is better.",card,positive,0.27708152,0.2958679,0.42705056,126384376
"Good, clean Enthusiastic reception Near the center, walk to the cafe in the morning, go to the night market in the evening I go with my parents and praise it. The owner is friendly when checking out my mother when she went to the market to ask for delicious onions, did you give your mother 1",reception,positive,0.0005747401,0.00092230376,0.99850297,126377554
"Good, clean Enthusiastic reception Near the center, walk to the cafe in the morning, go to the night market in the evening I go with my parents and praise it. The owner is friendly when checking out my mother when she went to the market to ask for delicious onions, did you give your mother 1",center,positive,0.0031188386,0.0015072026,0.995374,126377554
"Good, clean Enthusiastic reception Near the center, walk to the cafe in the morning, go to the night market in the evening I go with my parents and praise it. The owner is friendly when checking out my mother when she went to the market to ask for delicious onions, did you give your mother 1",cafe,positive,0.10990915,0.0048443014,0.8852466,126377554
"Good, clean Enthusiastic reception Near the center, walk to the cafe in the morning, go to the night market in the evening I go with my parents and praise it. The owner is friendly when checking out my mother when she went to the market to ask for delicious onions, did you give your mother 1",morning,neutral,0.891584,0.010224225,0.098191805,126377554
"Good, clean Enthusiastic reception Near the center, walk to the cafe in the morning, go to the night market in the evening I go with my parents and praise it. The owner is friendly when checking out my mother when she went to the market to ask for delicious onions, did you give your mother 1",night,neutral,0.87718916,0.0045763203,0.118234515,126377554
"Good, clean Enthusiastic reception Near the center, walk to the cafe in the morning, go to the night market in the evening I go with my parents and praise it. The owner is friendly when checking out my mother when she went to the market to ask for delicious onions, did you give your mother 1",market,positive,0.44175613,0.0073669585,0.5508769,126377554
"Good, clean Enthusiastic reception Near the center, walk to the cafe in the morning, go to the night market in the evening I go with my parents and praise it. The owner is friendly when checking out my mother when she went to the market to ask for delicious onions, did you give your mother 1",evening,neutral,0.95962006,0.002304571,0.038075313,126377554
"Good, clean Enthusiastic reception Near the center, walk to the cafe in the morning, go to the night market in the evening I go with my parents and praise it. The owner is friendly when checking out my mother when she went to the market to ask for delicious onions, did you give your mother 1",parent,neutral,0.9851178,0.0032040845,0.011678147,126377554
"Good, clean Enthusiastic reception Near the center, walk to the cafe in the morning, go to the night market in the evening I go with my parents and praise it. The owner is friendly when checking out my mother when she went to the market to ask for delicious onions, did you give your mother 1",owner,positive,0.00069908705,0.000903802,0.99839705,126377554
"Good, clean Enthusiastic reception Near the center, walk to the cafe in the morning, go to the night market in the evening I go with my parents and praise it. The owner is friendly when checking out my mother when she went to the market to ask for delicious onions, did you give your mother 1",mother,neutral,0.9559638,0.004895678,0.039140552,126377554
"Good, clean Enthusiastic reception Near the center, walk to the cafe in the morning, go to the night market in the evening I go with my parents and praise it. The owner is friendly when checking out my mother when she went to the market to ask for delicious onions, did you give your mother 1",onion,positive,0.011463546,0.0021473875,0.9863891,126377554
"The hotel is okay, very close to the center, clean and the reception is enthusiastic and lovely.",hotel,positive,0.08877069,0.011873959,0.8993553,127000916
"The hotel is okay, very close to the center, clean and the reception is enthusiastic and lovely.",center,positive,0.0024258748,0.0014524527,0.9961217,127000916
"The hotel is okay, very close to the center, clean and the reception is enthusiastic and lovely.",reception,positive,0.0005504884,0.0009858608,0.99846363,127000916
"The room is so ok, there is a view of the city too ❤️ Next time I go to Dalat, I will definitely visit again",room,neutral,0.95933944,0.00959376,0.031066788,126865545
"The room is so ok, there is a view of the city too ❤️ Next time I go to Dalat, I will definitely visit again",view,positive,0.001445422,0.00095084624,0.9976037,126865545
"The room is so ok, there is a view of the city too ❤️ Next time I go to Dalat, I will definitely visit again",city,positive,0.0055943187,0.0015176538,0.99288803,126865545
"The room is so ok, there is a view of the city too ❤️ Next time I go to Dalat, I will definitely visit again",time,positive,0.110886134,0.011302589,0.8778113,126865545
Room is clean and airy. Nice room in the price range.,room,positive,0.00095628115,0.0008705341,0.99817324,126639018
Room is clean and airy. Nice room in the price range.,price,positive,0.00077553676,0.0017112431,0.9975132,126639018
Room is clean and airy. Nice room in the price range.,range,positive,0.0012437621,0.00092041824,0.9978358,126639018
"The last time I booked directly at a hotel with a higher price, the quality of the room was better, this time with the same type of room booked on the app, I could choose a small room, no view, lower quality, poor wifi. In return, the staff attitude is good, the area is near the market, quiet. Suitable for you going out all day, just going to the room to sleep is ok.",time,positive,0.20476043,0.36740592,0.4278337,126183649
"The last time I booked directly at a hotel with a higher price, the quality of the room was better, this time with the same type of room booked on the app, I could choose a small room, no view, lower quality, poor wifi. In return, the staff attitude is good, the area is near the market, quiet. Suitable for you going out all day, just going to the room to sleep is ok.",hotel,positive,0.3342278,0.13493603,0.5308361,126183649
"The last time I booked directly at a hotel with a higher price, the quality of the room was better, this time with the same type of room booked on the app, I could choose a small room, no view, lower quality, poor wifi. In return, the staff attitude is good, the area is near the market, quiet. Suitable for you going out all day, just going to the room to sleep is ok.",price,negative,0.07427352,0.9013089,0.024417635,126183649
"The last time I booked directly at a hotel with a higher price, the quality of the room was better, this time with the same type of room booked on the app, I could choose a small room, no view, lower quality, poor wifi. In return, the staff attitude is good, the area is near the market, quiet. Suitable for you going out all day, just going to the room to sleep is ok.",quality,positive,0.013016743,0.061424173,0.9255591,126183649
"The last time I booked directly at a hotel with a higher price, the quality of the room was better, this time with the same type of room booked on the app, I could choose a small room, no view, lower quality, poor wifi. In return, the staff attitude is good, the area is near the market, quiet. Suitable for you going out all day, just going to the room to sleep is ok.",room,neutral,0.8413683,0.08047296,0.078158714,126183649
"The last time I booked directly at a hotel with a higher price, the quality of the room was better, this time with the same type of room booked on the app, I could choose a small room, no view, lower quality, poor wifi. In return, the staff attitude is good, the area is near the market, quiet. Suitable for you going out all day, just going to the room to sleep is ok.",type,negative,0.35940385,0.61024284,0.030353343,126183649
"The last time I booked directly at a hotel with a higher price, the quality of the room was better, this time with the same type of room booked on the app, I could choose a small room, no view, lower quality, poor wifi. In return, the staff attitude is good, the area is near the market, quiet. Suitable for you going out all day, just going to the room to sleep is ok.",app,neutral,0.8760792,0.08924905,0.034671783,126183649
"The last time I booked directly at a hotel with a higher price, the quality of the room was better, this time with the same type of room booked on the app, I could choose a small room, no view, lower quality, poor wifi. In return, the staff attitude is good, the area is near the market, quiet. Suitable for you going out all day, just going to the room to sleep is ok.",view,negative,0.014761124,0.9792027,0.006036275,126183649
"The last time I booked directly at a hotel with a higher price, the quality of the room was better, this time with the same type of room booked on the app, I could choose a small room, no view, lower quality, poor wifi. In return, the staff attitude is good, the area is near the market, quiet. Suitable for you going out all day, just going to the room to sleep is ok.",wifi,negative,0.0017712497,0.99124384,0.0069849277,126183649
"The last time I booked directly at a hotel with a higher price, the quality of the room was better, this time with the same type of room booked on the app, I could choose a small room, no view, lower quality, poor wifi. In return, the staff attitude is good, the area is near the market, quiet. Suitable for you going out all day, just going to the room to sleep is ok.",return,positive,0.10137429,0.009575439,0.88905025,126183649
"The last time I booked directly at a hotel with a higher price, the quality of the room was better, this time with the same type of room booked on the app, I could choose a small room, no view, lower quality, poor wifi. In return, the staff attitude is good, the area is near the market, quiet. Suitable for you going out all day, just going to the room to sleep is ok.",staff,positive,0.0016066165,0.0024655445,0.9959279,126183649
"The last time I booked directly at a hotel with a higher price, the quality of the room was better, this time with the same type of room booked on the app, I could choose a small room, no view, lower quality, poor wifi. In return, the staff attitude is good, the area is near the market, quiet. Suitable for you going out all day, just going to the room to sleep is ok.",attitude,positive,0.00074676063,0.0010523618,0.9982009,126183649
"The last time I booked directly at a hotel with a higher price, the quality of the room was better, this time with the same type of room booked on the app, I could choose a small room, no view, lower quality, poor wifi. In return, the staff attitude is good, the area is near the market, quiet. Suitable for you going out all day, just going to the room to sleep is ok.",area,positive,0.0013611193,0.0025627937,0.99607605,126183649
"The last time I booked directly at a hotel with a higher price, the quality of the room was better, this time with the same type of room booked on the app, I could choose a small room, no view, lower quality, poor wifi. In return, the staff attitude is good, the area is near the market, quiet. Suitable for you going out all day, just going to the room to sleep is ok.",market,positive,0.0052573113,0.0017011294,0.9930415,126183649
"The last time I booked directly at a hotel with a higher price, the quality of the room was better, this time with the same type of room booked on the app, I could choose a small room, no view, lower quality, poor wifi. In return, the staff attitude is good, the area is near the market, quiet. Suitable for you going out all day, just going to the room to sleep is ok.",day,neutral,0.85239184,0.0087313345,0.13887691,126183649
"The car park is nearly 300 meters away from the hotel and is unattended during the day, so it is a high risk (daytime parking and self-managed driver)",car,negative,0.14450175,0.8160102,0.03948814,127490786
"The car park is nearly 300 meters away from the hotel and is unattended during the day, so it is a high risk (daytime parking and self-managed driver)",park,negative,0.12906323,0.8524679,0.01846888,127490786
"The car park is nearly 300 meters away from the hotel and is unattended during the day, so it is a high risk (daytime parking and self-managed driver)",meter,negative,0.030127855,0.95369124,0.016180892,127490786
"The car park is nearly 300 meters away from the hotel and is unattended during the day, so it is a high risk (daytime parking and self-managed driver)",hotel,neutral,0.7247414,0.12378712,0.15147144,127490786
"The car park is nearly 300 meters away from the hotel and is unattended during the day, so it is a high risk (daytime parking and self-managed driver)",day,neutral,0.98250824,0.006132565,0.011359152,127490786
"The car park is nearly 300 meters away from the hotel and is unattended during the day, so it is a high risk (daytime parking and self-managed driver)",risk,negative,0.014584802,0.8566109,0.12880427,127490786
"The car park is nearly 300 meters away from the hotel and is unattended during the day, so it is a high risk (daytime parking and self-managed driver)",daytime,neutral,0.7838402,0.17551957,0.04064032,127490786
"The car park is nearly 300 meters away from the hotel and is unattended during the day, so it is a high risk (daytime parking and self-managed driver)",parking,neutral,0.53006864,0.43691477,0.033016548,127490786
"The car park is nearly 300 meters away from the hotel and is unattended during the day, so it is a high risk (daytime parking and self-managed driver)",self,neutral,0.74867564,0.13842483,0.11289961,127490786
"The car park is nearly 300 meters away from the hotel and is unattended during the day, so it is a high risk (daytime parking and self-managed driver)",driver,neutral,0.545539,0.17964251,0.27481854,127490786
